Concurrency,Req/sec
1,2843.4187271015758
2,3838.0611061412337
3,4338.905067392604
4,4636.842419999737
5,4831.812073906411
6,4967.397284915959
7,5065.641071094441
8,5138.889981974078
9,5194.59742892218
10,5237.529097580304
11,5270.874178840454
12,5296.847386067669
13,5317.03467645384
14,5332.601540384269
15,5344.423636017446
16,5353.1715696898755
17,5359.367562183518
18,5363.4243079786265
19,5365.672230948744
20,5366.378987207469
21,5365.763671483957
22,5364.007332471117
23,5361.260869519002
24,5357.651041165275
25,5353.285092033181
26,5348.254355062257
27,5342.6370843864215
28,5336.500703968659
29,5329.90360789256
30,5322.896613245252
31,5315.524141366224
32,5307.825184918817
33,5299.8341047589865
34,5291.581290551397
35,5283.0937115579445
36,5274.395378324752
37,5265.507731640879
38,5256.44997179157
39,5247.239338530185
40,5237.891350163775
41,5228.42000855165
42,5218.837975554095
43,5209.15672546374
44,5199.386677148013
45,5189.537308983936
46,5179.61725914316
47,5169.634413359599
48,5159.595981964573
49,5149.508567689277
50,5139.378225499607
51,5129.210515534065
52,5119.010550054143
53,5108.783035182075
54,5098.532308088356
55,5088.262370196937
56,5077.9769168964
57,5067.679364178241
58,5057.372872566288
59,5047.060368652912
60,5036.744564516259
61,5026.427975257483
62,5016.112934866592
63,5005.801610599527
64,4995.496016026617
65,4985.198022893186
66,4974.909371916283
67,4964.631682626977
68,4954.366462354935
69,4944.115114441004
70,4933.878945753854
71,4923.659173578297
72,4913.456931935488
73,4903.273277388755
74,4893.109194383002
75,4882.965600160677
76,4872.843349292749
77,4862.743237859276
78,4852.666007310592
79,4842.612348037061
80,4832.582902672595
81,4822.578269154674
82,4812.599003561393
83,4802.645622744157
84,4792.718606772834
85,4782.818401208669
86,4772.945419218811
87,4763.100043545085
88,4753.282628338459
89,4743.493500869702
90,4733.732963125752
91,4724.001293300497
92,4714.298747187962
93,4704.625559485149
94,4694.981945011232
95,4685.36809984921
96,4675.784202415629
97,4666.230414463531
98,4656.706882023355
99,4647.213736286176
